label	text	is_valid
negative	Theo Walcott is still shitc watch Rafa and Johnny deal with him on Saturday.	False
negative	its not that Im a GSP fanc i just hate Nick Diaz. cant wait for february.	False
negative	Iranian general says Israels Iron Dome cant deal with their missiles (keep talking like that and we may end up finding out)	False
neutral	Tehranc Mon Amour: Obama Tried to Establish Ties with the Mullahs http://t.co/TZZzrrKa via @PJMedia_com No Barack Obama - Vote Mitt Romney	False
neutral	I sat through this whole movie just for Harry and Ron at christmas. ohlawd	False
positive	with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.	False
negative	Talking about ACTs && SATsc deciding where I want to go to collegec applying to colleges and everything about college stresses me out.	False
neutral	Why is Happy Valentines Day trending? Its on the 14th of February not 12th of June smh..	False
negative	They may have a SuperBowl in Dallasc but Dallas aint winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll	False
neutral	Im bringing the monster load of candy tomorrowc I just hope it doesnt get all squiched	False
neutral	Apple softwarec retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads... http://t.co/X49ZEOsG	False
positive	@oluoch @victor_otti @kunjand I just watched it! Sridevis comeback.... U remember her from the 90s?? Sun mornings on NTA ;)	False
positive	One of my best 8th graders Kory was excited after his touchdown today!! He did the victor cruz!!lol http://t.co/tqORFrXB	False
neutral	#Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://t.co/zgUXpcnC #LiveWireAthletics	False
positive	@MsSheLahY I didnt want to just pop up... but yep we have chapel hill next wednesday you should come.. and shes great ill tell her you asked	False
neutral	@Alyoup005 @addicted2haley hmmmm  November is an odd release date if true but if it becomes big enough maybe she could sing it at Grammys	False
neutral	#Iran US delisting MKO from global terrorists list in line with Iran campaign: Tehranc Oct 30c IRNA -- Secretary... http://t.co/9wWvxEbf	False
positive	@JackStirling serge is amazing... like hes actually a god the lanky sex god... i saw kasabian and noel together in august. it was amazing.	False
neutral	@HatersgonnHate_ @HAMlikeHussain @Ramythe3lite Larry Bird is ranked 4th all-time not including Lebron or Kobe just sayin...	False
positive	Good Morning Becky ! Thursday is going to be Fantastic ! @SwedenG @DJ4JG @Grdina @Paverlayer @FSBull @RevkahJC @DicksTrash @borderfox116	False
neutral	Expect light-moderate rains over E. Visayas; Cebuc Boholc Samar & Leyte have 30-70% chance of rains tonight! Expect fair weather tomorrow!:)	False
positive	One ticket left for the @49ers game tomorrow!  Dont miss the rematch of the NFC Championship game against the NY Giants!  Hit me up!	False
negative	AFC away fans on Saturday. All this stuff about the she said no chant. Its bollocks. When he has the ballc just turn your back on him.	False
negative	My Saturday night has consisted of me watching The Grey with my puppy while my parents throw a rager #whaa #liamneesonisbosstho	False
negative	Why is it so hard to find the @TVGuideMagazine these days? Went to 3 stores for the Castle cover issue. NONE. Will search again tomorrow...	False
neutral	Game 1 of the NLCS and a rematch of the NFC Championship game tomorrow. SFs gonna be cuuuuhraaaaaaaazeeeee	False
neutral	James hall LIVE in Indianapolis Dec.8th.. CHRIST CHURCH APOSTOLIC! Tixs just $10/adv. $15@door BE THERE..	False
neutral	@TrevorJavier the heat game may cost alot more...and plus I would rather see Austin Rivers play	False
positive	Never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to Uc ACT NOW! #getafterit	False
positive	@TheFFAddict I had Vick and Flaccoc needed an upgrade.  Vick may get benchedc Jennings a back up again soon. I thought it was a win for me.	False
positive	@lisahochstein KEY LARGOc FL!!! Yay just ur neighbor Lisa a sip n a hop away :) always watching #RHOM Thurs!!	False
positive	Looks like Andy the Android may have had a little too much fun yesterday. http://t.co/7ZDEfzEC	False
