ID,Data,Retranca,Tipo do Conteúdo,Secretaria,Orgão,Texto,,,,,,
2016/01/29/0,2016-01-29T00:00:00Z,efmaadm,LICITAÇÕES,-,-,"((TITULO))Extrato de Termo de Aditamento
((TEXTO))((NG))2013-0.009.972-7((CL)). OBJETO: Prorrogação Contratual da Escola de Dança de São Paulo, referente aos meses de janeiro a março de 2016. CONTRATANTE: ((NG))FTMSP/EDSP((CL)) e CONTRATADO: Sandra Lúcia Gomes; Função: Oficinas Práticas de Dança; Valor Total R$ 14.100,00. Termo de Aditamento nº 021/2016.

",,,,,,
2016/01/29/1,2016-01-29T00:00:00Z,efaaadm,LICITAÇÕES,CULTURA,GABINETE DO SECRETÁRIO,"((TITULO))CONTRAÇÃO DE NATUREZA ARTÍSTICA

((TEXTO))((NG)) Publicado por omissão no D.O.C de 23.01.2016 (CL))

((NG)) Processo SEI 6025.2016/0000082-0((CL))

À vista dos elementos constantes do presente, em especial o Parecer da Comissão de Atividades Artísticas e Culturais, na competência a mim delegada pela Portaria nº 19/2006 – SMC.G, ((NG))AUTORIZO,((CL)) com fundamento no artigo 25, inciso III, da Lei Federal nº 8.666/1993 e alterações posteriores, artigo 1º da Lei Municipal 13.278/2002, nos termos dos artigos 16 e 17 do Decreto Municipal nº 44.279/2003, a contratação dos serviços de natureza artística nas condições abaixo estipuladas, observada a legislação vigente e demais cautelas legais:



((NG))CONTRATADO: Rosana Fiengo((CL)) (CPF nº 106.914.837-79), nome artístico “Rosanah”, e os demais integrantes elencados conforme a Declaração de Exclusividade, por intermédio de P. G. MUSIC PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA, inscrita no CNPJ sob o nº 02.046.051/0001-80.



((NG))OBJETO:((CL)) Apresentação do espetáculo musical de Rosanah intitulado “Festa Boogie Oogie”, conforme proposta e programação oficial do evento, a ser realizada em 23 de janeiro de 2016.



((NG))VALOR GLOBAL: ((CL))R$ 14.000,00 (quatorze mil reais), a serem pagos em parcela única, após a confirmação da execução dos serviços pela unidade requisitante.



((NG))DOTAÇÃO ORÇAMENTÁRIA:((CL)) 25.10 13.392.3001.6.354 3.3.90.39.00 00, conforme anotação de reserva de recursos.

Nos termos do art. 6º do Decreto Municipal nº 54.873/2014, designo Stella Maris Spera, RF 809.083, como fiscal do contrato e Ana Luiza Noblat de Aguiar, RF 814.298, como suplente.

",,,,,,
2016/01/29/2,2016-01-29T00:00:00Z,efmaadm,LICITAÇÕES,-,-,"((TITULO))Extrato de Termo de Aditamento
((TEXTO))((NG))2013-0.009.972-7((CL)). OBJETO: Prorrogação Contratual da Escola de Dança de São Paulo, referente aos meses de janeiro a março de 2016. CONTRATANTE: ((NG))FTMSP/EDSP((CL)) e CONTRATADO: Cristina Carneiro; Função: Pianista junto as oficinas de Dança; Valor Total R$ 14.100,00 Termo de Aditamento nº 021/2016.

",,,,,,
2016/01/29/3,2016-01-29T00:00:00Z,epaaadm,LICITAÇÕES,SAÚDE,GABINETE DO SECRETÁRIO,"((TITULO))PROCESSO: 2015-0.272.291-3
((TEXTO))((NG))DIVISÃO ADMINISTRATIVA, SMS-1 / CONTRATOS((CL))
EXTRATO DO TERMO DE CONTRATO Nº 004/2016-SMS-1/CONTRATOS
CONTRATANTE: Secretaria Municipal da Saúde da Prefeitura do Município de São Paulo
CONTRATADA: MARIA REGINA GUIMARÃES SILVA, CPF nº 735.066.726-49
OBJETO DO CONTRATO: Prestação de serviços de docência aos Agentes de Controle de Zoonoses no Curso “Técnico em Vigilância em Saúde - TVS” na Escola Municipal de Saúde Regional Leste I.
DOTAÇÃO: 84.10.10.128.3011.2180.3.3.90.36.00.02
DATA DE ASSINATURA: 18/01/2016
VIGÊNCIA: 24 (vinte e quatro) meses
VALOR DO CONTRATO: R$ 30.560,00",,,,,,
2016/01/29/4,2016-01-29T00:00:00Z,epwbadm,LICITAÇÕES,AUTARQUIA HOSPITALAR MUNICIPAL,DIRETORIA DE GESTÃO DE PESSOAL,"((TITULO))PENALIDADE
((TEXTO))((NG))PROCESSO Nº 2015-0.245.159-6((CL))
À vista dos elementos noticiados no processo administrativo, em especial as manifestações da Gerência de Suprimentos e da Assessoria Jurídica da AHM, que acolho como razão de decidir, e nos termos da competência delegada pela Portaria nº 099/2015–AHM.G, DEIXO DE APLICAR a penalidade de multa à empresa CIRURGICA KD LTDA - EPP., devidamente inscrita no CNPJ sob nº 09.260.071/0001-06, referente aos produtos adquiridos através da Ata de Registro de Preços nº 259/2014-SMS.G, conforme Nota de Empenho nº 2527/2015 e Ordem de Fornecimento nº 1435/15-5-série: H, e entregues por meio da Nota Fiscal nº 24452, haja vista o acolhimento dos argumentos expendidos em sua defesa prévia apresentada às fls. 59/61, informando que houve pedido de prorrogação de prazo junto ao Setor de Suprimentos, o qual foi devidamente deferido conforme fls. 64.",,,,,,
2016/01/29/5,2016-01-29T00:00:00Z,eiaaadm,LICITAÇÕES,ASSISTÊNCIA E DESENVOLVIMENTO,GABINETE DO SECRETÁRIO,"((TITULO))2015-0.038.991-5 
((TEXTO))À vista do contido no presente administrativo, especialmente pela manifestação da Assessoria Jurídica, RETI-RATIFICO o despacho proferido à fl. 216, publicado no D.O.C. de 29/12/2015, para fazer constar o CNPJ nº 60.982.576/0001-23 em lugar de CNPJ nº 34.117.192/0001-32.",,,,,,
2016/01/29/6,2016-01-29T00:00:00Z,efaaadm,LICITAÇÕES,CULTURA,GABINETE DO SECRETÁRIO,"((TITULO))DISPENSA DE LICITAÇÃO

((TEXTO))((NG)) Processo SEI 6025.2016/0000004-8((CL))

À vista dos elementos constantes do presente, ((NG)) AUTORIZO((CL)), com fundamento no artigo 24, inciso VIII, da Lei Federal nº 8.666/93 e no Decreto Municipal nº 46.356/05, a contratação direta da empresa ((NG)) SÃO PAULO TURISMO S/A((CL)), inscrita no CNPJ sob nº 62.002.886/0001-60, para prestação de serviços de planejamento, produção, execução e fiscalização de eventos referentes ao Calendário Anual de Eventos, de janeiro a dezembro de 2016, conforme proposta apresentada, pelo valor total estimado de R$ 11.999.014,74 (onze milhões, novecentos e noventa e nove mil, catorze reais e setenta e quatro centavos), ficando, desde já, autorizado o empenho de recursos onerando a dotação orçamentária nº 25.10.13.392.3015.2.118.3.3.90.39.00.00, de acordo com a nota de reserva n° 431/2016.

 Nos termos do art. 6° do Decreto n° 54.873/14, nomeio como fiscal do contrato Gabriela Fontana Junqueira Pereira – RF 803.051-1 e, como substituta, Luiza Helena Thesin – RF 826.775-2.",,,,,,
2016/01/29/7,2016-01-29T00:00:00Z,efcacdm,LICITAÇÕES,CULTURA,CENTRO CULTURAL - EXPEDIENTE,"((TÍTULO))EXTRATO DE ORDEM DE EXCECUÇÃO DE SERVIÇO
((TEXTO))((NG))ORDEM Nº 01/2016
Processo 2015-0.336.332-1((CL))
CNPJ nº 17.085.082/0001-17
Pelo presente instrumento, de um lado a Prefeitura do Município de São Paulo/Secretaria Municipal de Cultura/Centro Cultural São Paulo e de outro lado MARCO ANTONIO PEREIRA, inscrito no CPF/MF nº. 126.250.778-24, e demais integrantes do grupo “Mickey Junkies”, através da empresa individual MARCO ANTONIO PEREIRA 12625077824, CNPJ nº. 17.085.082/0001-17, representada legalmente pelo primeiro nomeado, para apresentação de espetáculo musical no dia 17 de janeiro de 2016, às 18h00, na Sala Adoniran Barbosa do Centro Cultural São Paulo, conforme proposta de fls. 04/05. O pagamento do cachê corresponderá a reversão da renda integral obtida na bilheteria à contratada, por intermédio da Empresa Brasileira de Comercialização de Ingressos Ltda., já deduzidos os impostos e taxas pertinentes, com ingressos vendidos ao preço único de R$ 20,00 (vinte reais), podendo ter preços reduzidos em face de promoções realizadas pela produção do evento.((NG)) DATA DA ASSINATURA: 13/01/2016.",,,,,,
2016/01/29/8,2016-01-29T00:00:00Z,efaaadm,LICITAÇÕES,CULTURA,GABINETE DO SECRETÁRIO,"((TITULO))CONTRAÇÃO DE NATUREZA ARTÍSTICA

((TEXTO))((NG)) Publicado por omissão no D.O.C de 23.01.2016 (CL))

((NG)) Processo SEI 6025.2016/0000078-1((CL))

À vista dos elementos constantes do presente, em especial o Parecer da Comissão de Atividades Artísticas e Culturais, na competência a mim delegada pela Portaria nº 19/2006 – SMC.G, ((NG))AUTORIZO,((CL)) com fundamento no artigo 25, inciso III, da Lei Federal nº 8.666/1993 e alterações posteriores, artigo 1º da Lei Municipal 13.278/2002, nos termos dos artigos 16 e 17 do Decreto Municipal nº 44.279/2003, a contratação dos serviços de natureza artística nas condições abaixo estipuladas, observada a legislação vigente e demais cautelas legais:



((NG))CONTRATADO: LUIZ GONZAGA KEDI AYRÃO((CL)) (CPF nº 071.133.582-68), nome artístico “LUIZ AYRÃO”, conforme a Declaração de Exclusividade, por intermédio de((NG)) NORMA PRODUCOES EIRELLI EPP((CL)), inscrita no CNPJ sob o nº 14.560.602/0001-08.



((NG))OBJETO:((CL)) Espetáculo Musical / Show - Luiz Ayrão - Show de Sucessos.



LOCAL: TEATRO LEOPOLDO FRÓES

Data: 23/01/2016 – Sábado às 20 horas

LOCAL: TEATRO JOÃO CAETANO

Data: 28/02/2016 – Domingo às 19 horas

LOCAL: TEATRO FLÁVIO IMPÉRIO

Data: 22/04/2016 – Sexta-feira às 20 horas.

LOCAL: TEATRO ALFREDO MESQUITA

Data: 21/05/2016 – Domingo às 21 horas



((NG))Tempo Aproximado de Duração do Espetáculo:((CL)) 90 minutos por apresentação.



((NG))VALOR GLOBAL: R$ 55.000,00 (cinquenta e cinco mil reais), sendo: 1ª parcela de R$ 13.750,00 - liberável a partir de 23/02/2016. 2ª parcela de R$ 13.750,00 - liberável a partir de 28/03/2016. 3ª parcela de R$ 13.750,00 - liberável a partir de 22/05/2016. 4ª parcela de R$ 13.750,00 - liberável a partir de 21/06/2016. O pagamento de cada parcela se dará em 15 (quinze) dias úteis após a data de confirmação da correta execução dos serviços.



((NG))DOTAÇÃO ORÇAMENTÁRIA:((CL)) 25.10 13.392.3001.6.354 3.3.90.39.00 00, conforme anotação de reserva de recursos.



 Nos termos do art. 6º do Decreto Municipal nº 54.873/2014, designo como fiscal desta contratação artística a servidora, Katia D'Agnolo Bocchi, RF 523.671 e, como substituta, Ana Luiza Noblat de Aguiar, RF 814.298.",,,,,,
2016/01/29/9,2016-01-29T00:00:00Z,efaaadm,LICITAÇÕES,CULTURA,GABINETE DO SECRETÁRIO,"((TITULO))CONTRAÇÃO DE NATUREZA ARTÍSTICA

((TEXTO))((NG)) Publicado por omissão no D.O.C de 23.01.2016 (CL))

((NG)) Processo SEI 6025.2016/0000086-2((CL))

À vista dos elementos constantes do presente, em especial o Parecer da Comissão de Atividades Artísticas e Culturais, na competência a mim delegada pela Portaria nº 19/2006 – SMC.G, ((NG))AUTORIZO,((CL)) com fundamento no artigo 25, inciso III, da Lei Federal nº 8.666/1993 e alterações posteriores, artigo 1º da Lei Municipal 13.278/2002, nos termos dos artigos 16 e 17 do Decreto Municipal nº 44.279/2003, a contratação dos serviços de natureza artística nas condições abaixo estipuladas, observada a legislação vigente e demais cautelas legais:



((NG))CONTRATADO: ((CL))Fabio Windson de Aguiar (CPF nº 318.871.158-11), nome artístico “Fábio Veio”, e os demais integrantes elencados conforme a Declaração de Exclusividade, por intermédio de MA GA SHOWS PRODUCOES ARTISTICAS LTDA, inscrita no CNPJ sob o nº 06.341.378/0001-35.



((NG)) OBJETO: ((CL))Apresentação de espetáculo musical, conforme proposta e programação oficial do evento, a ser realizada em 23, 24 e 25 de janeiro de 2016, no Centro Cultural Jabaquara, na Cidade Tiradentes - Avenida dos Metalúrgicos (Rua de Lazer), e no Campo Limpo - Avenida Carlos Caldeira Filho (Rua de Lazer), respectivamente.



((NG)) VALOR GLOBAL: ((CL))R$ 15.000,00 (quinze mil reais), a serem pagos em até 30 dias, após a confirmação da execução dos serviços pela unidade requisitante.



((NG)) DOTAÇÃO ORÇAMENTÁRIA:((CL)) 25.10.13.392.3001.6354.3.3.90.39.00.00, conforme anotação de reserva de recursos.

Nos termos do art. 6º do Decreto Municipal nº 54.873/2014, designo a Sra. Katia D'Agnolo Bocchi, RF 523.671, como fiscal do contrato e Ana Luiza Noblat de Aguiar, RF 814.298, como suplente.",,,,,,
