Id	text	Expeccted
0	"Ótima localização, bom atendimento, bom sinal de wi-fi (gratuito), bom preço. O café da manhã apresenta pouca variação, além de não ter pão de queijo, o que obriga o hospede com intolerância a glúten a comer apenas ovos mexidos, salsicha, presunto ou queijo. O pacote de TV é o básico do básico (canais abertos mais redes religiosas ou governo), o que torna a estadia no quarto uma aventura em busca de um bom livro ou um site interessante da Internet. Para quem pretende apenas uma visita rápida e um bom local para dormir, recomendo. No entanto, maiores comodidades não serão encontradas
"	neutro
1	"O hotel é bem localizado e silencioso, o que conta muito. Porém, deixou a desejar quanto ao café da manhã, que achei pouco variado, sobretudo para quem faz dieta com baixo consumo de farinha de trigo. Nas acomodações, o banheiro não tinha, dentro do box, nichos para se colocar o sabonete. A conexão wifi caía sempre.
"	neutro
2	"O hotel é muito bom. O atendimento é excelente. O quarto é aconchegante, os móveis não são novos mas estão conservados. Possui 2 elevadores mas na data em que fiquei no hotel só um estava funcionado. Hotel muito bom.
"	positivo
3	"Hotel antigo, mal conservado e mal reformado, apesar de uma estadia de apenas um dia, não gostei desse hotel. O atendimento foi razoável a estrutura deixa muito a desejar, pelo preço que cobra existem opções de custo beneficio muito melhores em Brasília! Não voltaria me hospedar nesse hotel.
"	negativo
4	"Hotel bem localizado, perto de dois shopping, quartos limpos e reformados, cama confortável, ótimo atendimento, possui um bom café da manhã, recomendo para hospedagens de viagens a negócios em Brasília
"	positivo
5	"Hotel 3 estrelas com muitos problemas de manutenção. Fiquei numa acomodação com ar condicionado antigo e barulhento, torneiras do banheiro ficavam pingando a menos q fechasse o registro, a porta da varanda não tinha trinco, a internet ficava caindo, não tinha tv a cabo, entre outros probleminhas. O café da manhã era razoável e a cama era boa, funcionários educados.
"	negativo
6	"O hotel cumpre ao que se propõe, pelo preço acessível. Confortável, limpíssimo, muito bem localizado perto de shoppings, centro de convenções e ministérios. Destaco o gentil atendimento da equipe e o café da manhã variado.
"	positivo
7	"Hotel apesar de bem localizado tem uma péssima estrutura, fiquei no quarto 127, onde era notório que era um quarto improvisado, não tinha janela, as cortinas não impedem o sol, como este quarto é localizado para os fundos do hotel, se abrisse a cortina o quarto ficava exposto, pois nem tem insulfilme, o banheiro não tem nenhuma forma de ventilação, todo cheiro ia para o quarto, a noite o barulho do hall do hotel era de total incomodo, ao ligar a noite para recepção para saber sobre o horário de silencio me foi informado que iniciava as 00, ou seja tínhamos que esperar até a meia noite para conseguir dormir. Toda hora que tocava o telefone da recepção se ouvia desse quarto. Então, se pretende ter uma noite de sono não se hospede neste hotel. Ainda sobre o hotel, foram colocados 3 colchoes no chão, uma das ""colegas de quarto"" tinha dificuldade em levantar e se deitar pela baixissima altura, não tinha um minimo espaço entre os colchões. Foi a minha pior estadia em hotéis em Brasília.
"	negativo
8	"Ótima localização, perto do Setor Bancário Norte e de dois Shoppings. O hotel é antigo e sem luxo, mas os quartos são reformados, amplos e com camas confortáveis, porém não tem acesso gratuito a internet. O serviço de cozinha do hotel é simples, porém com pratos saborosos - destaque para as ótimas omeletes. Bom custo benefício, principalmente para quem está a trabalho e volta ao hotel apenas para dormir.
"	positivo
9	"Os hotéis da Rede Bittar em Brasília servem ao seu propósito: Economia e baixo custo. Não esperem quartos luxuosos, espaçosos e mobília nova. Café da manhã decente, padrão em toda rede hoteleira, mesmo assim, melhor que os da rede Ibis.
"	positivo
